,Timestamp,Bezirk,Anzahl,Anzahl_Inzidenz,GKZ
Bezirke.csv,2020-05-23 03:00:00,Tamsweg,22,"108,267716535433",505
Bezirke.csv,2020-05-23 03:00:00,Tulln,175,"168,640564319511",321
Bezirke.csv,2020-05-23 03:00:00,Urfahr-Umgebung,281,"328,635752295187",416
Bezirke.csv,2020-05-23 03:00:00,Villach Land,48,"74,2252737056968",207
Bezirke.csv,2020-05-23 03:00:00,Villach Stadt,21,"33,7387336728628",202
Bezirke.csv,2020-05-23 03:00:00,Vöcklabruck,107,"78,5303809824371",417
Bezirke.csv,2020-05-23 03:00:00,Voitsberg,106,"207,189069799261",616
Bezirke.csv,2020-05-23 03:00:00,Völkermarkt,52,"124,170208701466",208
Bezirke.csv,2020-05-23 03:00:00,Waidhofen an der Thaya,73,"281,983930778739",322
Bezirke.csv,2020-05-23 03:00:00,Waidhofen an der Ybbs(Stadt),25,"222,005150519492",303
Bezirke.csv,2020-05-23 03:00:00,Weiz,197,"218,057846208339",617
Bezirke.csv,2020-05-23 03:00:00,Wels(Stadt),58,"93,9621235439921",403
Bezirke.csv,2020-05-23 03:00:00,Wels-Land,79,"108,080006566886",418
Bezirke.csv,2020-05-23 03:00:00,Wien(Stadt),3048,"160,633172963666",900
Bezirke.csv,2020-05-23 03:00:00,Wiener Neustadt(Land),86,"110,269133617982",323
Bezirke.csv,2020-05-23 03:00:00,Wiener Neustadt(Stadt),56,"123,683106212867",304
Bezirke.csv,2020-05-23 03:00:00,Wolfsberg,43,"81,5536926753404",209
Bezirke.csv,2020-05-23 03:00:00,Zell am See,359,"410,463972925385",506
Bezirke.csv,2020-05-23 03:00:00,Zwettl,73,"172,895646819194",325
